Estado,Cidade,lat,lon
ACRE,EPITACIOLANDIA,-11.0289439,-68.7411519
ACRE,RIO BRANCO,-9.9765362,-67.8220778
BAHIA,BARREIRAS,-12.1440031,-44.9967406
BAHIA,BRUMADO,-14.2025099,-41.6701307
BAHIA,ITABUNA,-14.793173,-39.2750341
BAHIA,LAURO DE FREITAS,-12.89242,-38.3127691
BAHIA,LUIS EDUARDO MAGALHAES,-12.0869117,-45.7834163
BAHIA,SALVADOR,-12.9822499,-38.4812772
BAHIA,VITORIA DA CONQUISTA,-14.8567487,-40.8414804
CEARA,FORTALEZA,-3.7304512,-38.5217989
CEARA,JUAZEIRO DO NORTE,-7.2153453,-39.3153336
DISTRITO FEDERAL,BRASILIA,-15.7939869,-47.8828
ESPIRITO SANTO,CARIACICA,-20.263202,-40.416549
ESPIRITO SANTO,COLATINA,-19.5346732,-40.6287836
ESPIRITO SANTO,FUNDAO,-19.9532531,-40.3779176
ESPIRITO SANTO,IBATIBA,-20.2342792,-41.5082981
ESPIRITO SANTO,LINHARES,-19.3796775,-40.0610087
ESPIRITO SANTO,MARILANDIA,-19.4117824,-40.5442916
ESPIRITO SANTO,MONTANHA,-18.1263191,-40.3641584
ESPIRITO SANTO,SAO MATEUS,-18.7146049,-39.8539499
ESPIRITO SANTO,SERRA,-20.1252961,-40.3064477
ESPIRITO SANTO,VIANA,-20.3914471,-40.4966587
ESPIRITO SANTO,VILA VELHA,-20.3297037,-40.2920174
ESPIRITO SANTO,VITORIA,-20.3200917,-40.3376682
GOIAS,ANAPOLIS,-16.3332828,-48.9525756
GOIAS,APARECIDA DE GOIANIA,-16.8226769,-49.2452546
GOIAS,GOIANIA,-16.680882,-49.2532691
GOIAS,RIO VERDE,-17.7921255,-50.9191219
MARANHAO,PACO DO LUMIAR,-2.5329055,-44.1591965
MATO GROSSO,SINOP,-11.857701,-55.4967824
MATO GROSSO,TANGARA DA SERRA,-14.6213903,-57.4907268
MATO GROSSO DO SUL,CAMPO GRANDE,-20.4640173,-54.6162947
MATO GROSSO DO SUL,DOURADOS,-22.2206145,-54.812208
MINAS GERAIS,ARAGUARI,-18.6511256,-48.1933764
MINAS GERAIS,BELO HORIZONTE,-19.9227318,-43.9450948
MINAS GERAIS,CATAGUASES,-21.387426,-42.6957219
