Codigo,Descricao,Quantidade,Valor,Mes,Ano,Cliente,Representante,Categoria
9587,DOBRADICA 45° COM PISTAO CLIP ON CANECO 35 CALCO H0 MV169,50,275.5,10,2025,8819 - AMBIENTAL MOVEIS PLANEJADOS LTDA,4593-OPENFIELD BENTO,Articuladores
9586,DOBRADICA COM PISTAO SLIDE ON SUPER ALTA LIFE CANECO 35,100,284.05,10,2025,7925 - COMPEMPLAC COM.DE.MAQ.E ACESSORIOS PARA MARCENARIA,5289-WILLIAM VALDOMIRO MELO,Articuladores
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,200,568.1,11,2025,8015 - MERCATTO FERRAGENS,4243-MARCELO DE OLIVEIRA TEIXEIRA,Articuladores
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,200,550.96,11,2025,8744 - 60.48.514 LEDICE JUNGES,1524-BEAL REPRE LTDA - ME MARCIO,Articuladores
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,100,284.05,10,2025,8914 - ADEMIR CONSTANTINO BARRETOS ME,5289-WILLIAM VALDOMIRO MELO,Articuladores
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,1000,2840.5,10,2025,7925 - COMPEMPLAC COM.DE.MAQ.E ACESSORIOS PARA MARCENARIA,5289-WILLIAM VALDOMIRO MELO,Articuladores
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,100,284.05,10,2025,8040 - ABILE COMERCIO DE COMPONENTES PARA MOVEIS LTDA,1524-BEAL REPRE LTDA - ME MARCIO,Articuladores
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,200,598,10,2025,8154 - SOS MARCENEIRO,1473-L A PICCINATO CIA LTDA,Articuladores
9585,DOBRADICA COM PISTAO SLIDE ON ALTA LIFE CANECO 35 CALCO H2 4F,400,1195.2,10,2025,6732 - PUXE COMPONENTES PARA MOVEIS,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,500,1420.25,11,2025,8038 - CASA MM COMERCIAL LTDA,5289-WILLIAM VALDOMIRO MELO,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,200,550.96,11,2025,8744 - 60.48.514 LEDICE JUNGES,1524-BEAL REPRE LTDA - ME MARCIO,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,300,897,11,2025,8821 - HR FERRAGENS,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,1100,3289,11,2025,8154 - SOS MARCENEIRO,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,400,1196,11,2025,7641 - M BRASIL FERRAGENS,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,900,2637.03,11,2025,6732 - PUXE COMPONENTES PARA MOVEIS,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,100,284.05,10,2025,8914 - ADEMIR CONSTANTINO BARRETOS ME,5289-WILLIAM VALDOMIRO MELO,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,100,284.05,10,2025,6245 - FERREIRA FERRAGENS,4243-MARCELO DE OLIVEIRA TEIXEIRA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,100,284.05,10,2025,8040 - ABILE COMERCIO DE COMPONENTES PARA MOVEIS LTDA,1524-BEAL REPRE LTDA - ME MARCIO,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,1300,3887,10,2025,3925 - J F DECORACOES DE MOVEIS,1524-BEAL REPRE LTDA - ME MARCIO,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,1000,2990,10,2025,8684 - ZRN DESIGN,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,1000,2990,10,2025,8154 - SOS MARCENEIRO,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,300,897,10,2025,8000 - VITAO COMPONENTES PARA MARCENARIA LTDA,1473-L A PICCINATO CIA LTDA,Articuladores
9584,DOBRADICA COM PISTAO SLIDE ON RETA LIFE CANECO 35 CALCO H2 4F,1000,2990,10,2025,6732 - PUXE COMPONENTES PARA MOVEIS,1473-L A PICCINATO CIA LTDA,Articuladores
9503,PISTAO 80N COM AMORTECIMENTO 690014645,332,3896.45,11,2025,389 - ITALINEA IND DE MOVEIS LTDA,792-KLAUCK,Articuladores
9503,PISTAO 80N COM AMORTECIMENTO 690014645,714,8379.72,10,2025,389 - ITALINEA IND DE MOVEIS LTDA,792-KLAUCK,Articuladores
9440,KIT EXTENSOR DUPLO GAVETA OPENBOX 500MM BRANCO,2,78.49,10,2025,4892 - SES COMERCIO DE MADEIRA DENSIFICADA E FERRAGENS,4243-MARCELO DE OLIVEIRA TEIXEIRA,Corrediça Oculta
9431,KIT EXTENSOR GAVETA OPENBOX GERACAO 2 500MM BRANCO,3,71.72,10,2025,4892 - SES COMERCIO DE MADEIRA DENSIFICADA E FERRAGENS,4243-MARCELO DE OLIVEIRA TEIXEIRA,Corrediça Oculta
9423,GAVETA OPENBOX GERACAO 2 500MM BRANCO,6,701.71,10,2025,4892 - SES COMERCIO DE MADEIRA DENSIFICADA E FERRAGENS,4243-MARCELO DE OLIVEIRA TEIXEIRA,Corrediça Oculta
9418,CABIDEIRO CALCEIRO EXTENSIVEL 137MM,1,223.28,10,2025,4742 - PRO-MOVEL,4243-MARCELO DE OLIVEIRA TEIXEIRA,Acessórios
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,100,547.65,11,2025,8146 - STEFANIE MARCENARIA,6527-L. K. S. SOARES ME,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,50,260.14,11,2025,6984 - ZWECK IMPORTACAO E COMERCIO,4593-OPENFIELD BENTO,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,100,520.27,11,2025,1065 - GMAD PLACA SUL SUPRIMENTOS PARA MOVEIS LTDA,4243-MARCELO DE OLIVEIRA TEIXEIRA,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,50,260.14,11,2025,"8505 - TESSER FERRAGENS,FERRAMENTAS E DECORACOES LTDA",1524-BEAL REPRE LTDA - ME MARCIO,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,50,260.11,11,2025,7186 - CARAFFINI ASSESSORIA,1524-BEAL REPRE LTDA - ME MARCIO,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,50,274.38,11,2025,4458 - MOVEIS MANFROI,792-KLAUCK,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,50,260.14,10,2025,6984 - ZWECK IMPORTACAO E COMERCIO,4593-OPENFIELD BENTO,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,300,1560.65,10,2025,4722 - PR COMERCIO DE TINTAS EIRELI - PR COMPENSADOS,4243-MARCELO DE OLIVEIRA TEIXEIRA,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,50,260.14,10,2025,"8505 - TESSER FERRAGENS,FERRAMENTAS E DECORACOES LTDA",1524-BEAL REPRE LTDA - ME MARCIO,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,50,260.14,10,2025,8154 - SOS MARCENEIRO,1473-L A PICCINATO CIA LTDA,Pulsadores
9416,PULSADOR MAGNETICO DE SOBREPOR CINZA 25N,300,1560.76,10,2025,6732 - PUXE COMPONENTES PARA MOVEIS,1473-L A PICCINATO CIA LTDA,Pulsadores
9415,PULSADOR MAGNETICO DE SOBREPOR GRAFITE 25N,50,260.14,10,2025,8040 - ABILE COMERCIO DE COMPONENTES PARA MOVEIS LTDA,1524-BEAL REPRE LTDA - ME MARCIO,Pulsadores
9405,DOBRADICA MOTUS 105° INVISIVEL SUPER ALTA COM PISTAO PARA,100,529,11,2025,3774 - PROSMOVEL,1524-BEAL REPRE LTDA - ME MARCIO,Articuladores
9404,DOBRADICA MOTUS 105° INVISIVEL ALTA COM PISTAO PARA MOVEIS,600,3174.9,11,2025,7895 - MM COMERCIAL DE MADEIRAS FERRAGENS E MAQUINAS LTDA,5289-WILLIAM VALDOMIRO MELO,Articuladores
